reg_id,inbreeding
HOCAN000000334723,4.75
JENZL000JR351910M,5.5
BSCHE110716024916,0.1
JENZL000JR352442M,2.68
JENZL000JR358408M,0.13
JENZL000JR355565M,1.06
HODEU001002039512,2.05
BSCHE110073053734,0.61
HOUSA000001889503,2.98
JENZL000JR356206M,13.53
JENZL000JR356766M,2.4
BSCHE110200079408,0.13
HODNK000000018007,0.94
BSCHE111215038053,0.41
HOAUT000219161267,1.65
HOUSA000001917890,8.09
BSITABZ0000118902,4.99
HODNK000000017155,0.19
JENZL000JR358521M,3.44
HOUSA000001982605,2.59
HODNK000000019307,1.15
HODNK000000018662,0.75
BSCHE110097226411,0.48
HODNK000000220531,0.81
HODNK000000220227,0.98
BSCHE110053242790,0
HODNK000000220614,0.86
HODNK000000222078,1.23
HODNK000000221593,1.92
BSAUT000227310261,1.58
HOGBR000000510793,6.48
HODNK000000222304,3.63
AYFIN000000038850,3.32
HODNK000000223679,1.95
BSCHE110907128638,0.17
BSCHE110121161374,1.14
BSCHE110009051995,0.05
HODNK000000223624,3.55
HOITA003603001768,0.59
HODNK000000222897,1.19
HODNK000000223175,1.96
HODNK000000222669,0.16
HODEU001020505516,0.86
HODNK000000223450,3.55
HODNK000000223196,3.23
JENZLBHKJ19860079,0.12
HODNK000000223663,4.25
HODNK000000224484,0.14
BSCHE110509095055,0.05
BSCHE110177082661,1.38
JEUSA000000649067,0
BSCHE110053265270,0.05
HODNK000000224107,0.76
HODEU001020597245,1.15
BSCHE110031098234,0.85
HODNK000000225270,3.6
HODNK000000225079,1.69
HODNK000000226213,2.07
HODNK000000225742,2.88
HODNK000000225243,0.31
JEDNK000000048006,4.98
HODEU000606552599,0.47
BSCHE110175130593,2.35
HODNK000000225921,0.44
HODNK000000225905,0.65
HODEU001011036920,2.52
HODNK000000226106,0.65
HODNK000000226085,0.77
HODNK000000226678,1.75
JENZLBJVY19880038,1.89
HODNK000000226751,0.23
MSUSA000360007331,0
HODNK000000227289,0.35
HODNK000000228086,1.37
HODEU001002497368,0.82
HODNK000000227146,2.91
HODNK000000227517,0.88
HODNK000000228228,0.9
AYDEU000101346711,0
HODEU001011084348,1.18
BSCHE110117087206,0.24
HODNK000000229051,2.03
HODNK000000229215,0.31
HODNK000000229271,1.03
HODNK000000229515,1.9
HODNK000000229596,1.9
HODNK000000229086,1.94
BSCHE110907160959,0.52
HODNK000000229360,1.23
BSCHE110181064325,5.94
HODNK000000230171,1.55
HODNK000000230308,2.06
HODNK000000230804,1.8
HODNK000000231159,1.11
MSUSA000370007556,0.5
HODNK000000230943,4.3
HODNK000000231105,1.11
JEDNK000000049271,0.78
AYNZLCHDD19910040,1.01
HONZLBWJM19910100,0.03
BSCHE110346056479,0.72
HODNK000000231694,4.48
JEDNK000000049374,2.1
HODNK000000231705,1.78
BSCHE110054332407,2.96
HODNK000000231413,5.05
HODNK000000231418,5.05
HODNK000000231417,5.05
HOUSA000002199312,9.03
HODNK000000234297,4.63
JENZL0FGR19920051,1.62
JENZLCHRV19920041,0.19
JEDNK000000049643,0
HODNK000000232269,1.34
HODEU002075813859,0.09
HODNK000000234355,4.45
HODNK000000233171,3.17
HOUSA000002218433,13.69
HODNK000000234216,4.48
HODNK000000034673,0.34
BSCHE110180124457,5.02
HODNK000000234314,1.02
MSUSA000370008174,0
JENZLBHKJ19930024,7.33
HOITA000908015865,1.43
AYDEU000112732862,3.13
JENZL0FGR19930070,0.74
HOUSA000002252406,2.22
JEDNK000000300122,3.38
HOITA000908035043,2.6
HODEU001015264291,2.58
BSDEU000910357682,1.87
HOUSA000002252407,17.06
BSDEU000916629530,8.6
BSCHE110916038775,3.66
BSCHE110060164405,0.47
HODEU000911513594,1.67
HODEU002241001789,3.79
JEDNK000000300697,3.34
AYSWE111341100495,0
BSITABZ0000249850,1.99
BSITAPR0000127702,1.49
BSCHE111212077253,0.05
HODNK000000238195,5.44
JEDNK000000300986,3.64
JEDNK000000300829,3.77
HOCHE712709054643,1.6
HODNK000000237947,3.13
BSCHE110728041598,0.98
HODNK000000237568,5.91
BSCHE110097294328,2.26
AYFIN000000041468,0.95
HODNK000000238774,1.91
HODNK000000238694,2.27
JEDNK000000301049,0.05
JEDNK000000300962,3.85
JEDNK000000300935,1.24
BSCHE110125174042,1.78
BSDEU000916758694,2.13
BSCHE110055214498,3.87
BSCHE111453050435,1.56
HODNK000000239813,4.26
BSCHE110349146382,0.84
JEDNK000000301181,0.48
AYSWE814601120096,0.17
BSDEU000930138746,3.36
HODEU000110881106,3.52
AYLVA046215010100,0
JEDNK000000301174,0.05
MSUSA000000441016,8.2
JEDNK000000301428,0.1
HODEU001600391716,0.79
JEDNK000000301220,0.68
HOGBR000000587260,1.67
HOFIN000000092336,0.63
HOFIN000000092348,0.25
HODEU000342550316,3.32
JEDNK000000301449,3.69
HODNK000000241351,4.88
HOMEX000660007625,4.97
BSCHE110156100034,2.4
JEDNK000000301544,0.11
JEDNK000000301524,0.39
MSUSA000000443481,0
HODNK001617301175,4.12
JEDNK000000301575,0.17
HODEU000111531983,2.77
HOFIN000000092788,0.27
JEDNK000000301579,4.17
JEDNK000000301622,0.98
JEDNK000000301669,1.88
JEDNK000000301476,0.05
JEDNK000000301549,1.33
HOUSA000126083556,6.76
HOGBR000000594826,3.22
HODEU000343593157,6.96
HODNK000000243058,2.6
HODEU001502227977,3.62
JEDNK000000301751,0.98
BSCHE110941171652,3.99
GUUSA000000603988,2.44
JEDNK000000301840,3.58
AYDNK000000035936,2.07
HODNK000000244089,3.03
JEDNK000000302008,1.68
HODEU000344128812,9.45
HONLD000286286002,2.88
JEUSA000111390337,4.76
HODEU000112771402,3.26
JEDNK000000302024,4.61
BSCHE120009128054,2.59
HOGBR000000604347,2.06
JENZL0FMW20000156,0.29
HODEU000112711944,5.7
JEUSA000111644351,1.94
HODEU000112783095,2.32
JESWE000000000625,0.04
JEDNK000000302141,5.24
JEDNK001970002409,0.74
HODEU000345719054,4.13
MSUSA000000451031,6.01
HODNK000000245540,4.07
HODEU000347095128,1.53
AYGBR000006180926,0.29
JENZL0GFW20010113,0.52
HOCHE120014447355,3.71
HODEU000113488015,3.59
AYFIN000000004255,1.27
BSCHE120002146789,4.85
BSCHE120018602361,2.45
HOITA017500154668,2.23
BSCHE120023525761,4.58
HOCHE120021464611,2.39
JEGBR000000054438,1.92
JEDNK000000302427,5.18
HOGBR000000615619,7.14
JENZL0PTV20020041,1.04
JEDNK000000302334,2.06
GUUSA000000604723,3.03
BSCHE120018816270,2.56
JEDNK000000302449,0.58
HODNK004973801627,4.37
HODEU000347558368,5.74
BSCHE120028665516,4.41
HODEU000346285777,5.35
HOCHE120024936610,3.4
HODEU000346496397,4.88
BSCHE120015456400,5.77
BSCHE120022890648,6.02
AYDNK000000036227,0.26
BSCHE120026503681,1.08
BSCHE120032528364,4.73
BSCHE120034870263,0.69
JEDNK000000302488,1.46
JEIRL191177250277,0.16
BSCHE120010533007,3.4
MSUSA000360011223,0.26
BSCHE120029000057,2.18
HONLD000372239680,3.34
HOLVA014100910098,2.86
JEDNK000000302657,1.14
BSITA021001179000,2.92
JEDNK000000302559,1.81
HOGBR000000620713,2.39
HODEU000347912178,1.83
BSCHE120030156675,1.33
HOITA098500196091,6.02
BSCHE120029378934,5.05
AYFIN000000044848,0.95
AYFIN000000044014,1.63
BSCHE120040140541,3.03
HONLD000370186168,2.86
BSCHE120030666396,7.45
JEDNK000000302689,3.08
JEDNK006193501301,1.05
HODEU000114032679,6.61
MSUSA000360011789,0.26
BSCHE120042977336,1.96
JEDNK000000302694,4.16
JEZAF000048833461,5.53
AYFIN000000044333,2.34
BSCHE120039398052,2.61
AYNLD000389504906,1.57
HOGBR000000625392,3.23
HOCHE120042532849,2.01
HODEU000349498654,3.99
AYFIN000000044204,2.18
BSCHE120042977473,0.99
JEUSA000114996000,10.09
HONLD000038545499,7.81
GUUSA000068007819,6.21
BSCHE120040449156,1.56
HODNK000000250593,6.02
HOGBR000000628196,0.29
JEZAF000061318911,4.75
JENZL000000314779,17.29
AYNZL0JGB20050058,2.7
JEUSA000067031844,3.79
JEGBR000000054797,1.64
AYFIN000000046196,2.21
JEUSA000067027301,3.2
HOFIN000008416303,1.01
BSCHE120012468000,1.12
JEUSA000114799939,3.81
JEUSA000114960423,8.25
JEUSA000115700127,0.23
HODEU000350213926,4.07
HONLD000440270586,2.21
JEUSA000114988621,3.98
HODEU000115129243,1.85
HOGBR000000630338,6.16
HODEU000350338454,2.91
BSCHE120051628311,2.3
AYFIN000000044855,1.13
JEUSA000067081108,8.82
HOGBR000000634591,6.51
AYFIN000000045138,1.81
BSCHE120055561164,0.54
HODEU001302894260,8.17
AYFIN000000045383,1.88
JEZAF000063116271,5.82
BSCHE120054322209,2.74
BSCHE120047770291,4.69
HOGBR000000632447,0.49
HODEU001302894333,8.3
JEUSA000117145878,2.34
HOGBR000000632405,0.62
JEUSA000115262881,5.57
BSCHE120058539689,1.15
JEUSA000116076113,8.51
BSCHE120049359142,6.91
JEUSA000115255159,9.57
HODEU000351231201,4.48
HODNK000000299792,4.22
JEUSA000067092563,7.51
HODEU000350709422,6.58
AYFIN000000045434,1.89
JEUSA000115413018,4.71
HONLD000439648169,3.08
HOCHE120055482858,1.71
AYFIN000000045095,0.97
AYFIN000000047162,1.83
